Designator,Mid X,Mid Y,Rotation,Layer
C1,140.4,-118.8,90.0,top
C10,150.3455,-115.715,90.0,top
C2,140.502823,-123.0,270.0,top
C3,113.792,-112.522,135.0,top
C4,118.364,-119.38,315.0,top
C5,131.8,-122.6,45.0,top
C6,134.112,-106.172,135.0,top
C7,121.929575,-102.970541,225.0,top
C8,114.9,-109.8,45.0,top
C9,149.4,-119.525,180.0,top
J1,126.5,-130.0,180.0,bottom
J2,126.5,-96.0,180.0,bottom
Q1,141.026,-112.667,0.0,top
Q2,141.026,-108.603,0.0,top
R1,148.3135,-110.635,90.0,top
R2,141.4555,-115.461,180.0,top
R3,146.2815,-110.635,90.0,top
R4,144.2495,-110.635,90.0,top
U1,126.5,-113.0,315.0,top
U2,102.87,-113.03,180.0,top
U3,146.441,-115.453,90.0,top
Y1,143.7,-121.8,270.0,top
