Designator,Mid X,Mid Y,Rotation,Layer
BZ1,189.5,-79.0,0.0,bottom
C1,147.42,-119.5525,90.0,bottom
C10,113.27866,-59.720222,270.0,bottom
C11,107.98,-59.698877,270.0,bottom
C12,91.0,-59.818,270.0,bottom
C13,100.614,-54.645,0.0,bottom
C14,83.647,-54.929,0.0,bottom
C15,100.614,-52.613,0.0,bottom
C16,83.647,-53.151,0.0,bottom
C17,112.057,-52.473,180.0,bottom
C18,95.572,-52.7,180.0,bottom
C19,108.234,-44.704,270.0,bottom
C2,81.28,-120.396,0.0,bottom
C20,91.508,-45.261,270.0,bottom
C23,112.298,-44.704,270.0,bottom
C24,95.318,-45.261,270.0,bottom
C25,147.42,-115.4225,90.0,bottom
C26,171.648,-122.138,90.0,bottom
C27,168.6,-126.25,180.0,bottom
C28,164.028,-126.25,0.0,bottom
C29,172.156,-136.41,180.0,bottom
C3,70.739,-59.309,270.0,bottom
C30,161.996,-135.902,90.0,bottom
C31,172.156,-134.378,180.0,bottom
C32,188.976,-132.842,270.0,bottom
C33,185.166,-137.668,180.0,bottom
C34,130.704,-39.859,90.0,bottom
C35,127.0,-136.906,270.0,bottom
C36,107.442,-37.084,0.0,bottom
C37,103.836,-71.1155,270.0,bottom
C38,100.538,-69.784,0.0,bottom
C39,102.976,-74.902,0.0,bottom
C4,85.839,-120.65,180.0,bottom
C40,178.562,-81.788,270.0,bottom
C41,157.137265,-92.831399,0.0,bottom
C42,157.137265,-94.863399,0.0,bottom
C43,171.508,-53.02,0.0,bottom
C44,185.138,-59.25,180.0,bottom
C45,171.258,-55.02,0.0,bottom
C46,181.538,-59.45,180.0,bottom
C47,182.18,-56.546,270.0,bottom
C48,178.435,-49.1875,90.0,bottom
C49,171.508,-50.85,0.0,bottom
C5,95.452,-56.961,180.0,bottom
C50,184.293127,-52.82935,90.0,bottom
C51,184.288,-56.125,270.0,bottom
C52,180.402,-45.875,90.0,bottom
C53,182.31,-49.1875,90.0,bottom
C54,173.798,-46.4,0.0,bottom
C55,177.608,-46.4,0.0,bottom
C56,178.446718,-42.055,90.0,bottom
C57,176.453077,-42.055,90.0,bottom
C58,180.440359,-42.055,90.0,bottom
C59,182.434,-42.055,90.0,bottom
C6,112.313,-56.791,180.0,bottom
C60,172.465795,-42.055,270.0,bottom
C61,186.421282,-42.055,90.0,bottom
C62,174.459436,-42.055,270.0,bottom
C63,184.427641,-42.055,90.0,bottom
C64,149.606,-136.823318,270.0,top
C65,149.606,-130.340576,270.0,top
C66,149.606,-123.8459,270.0,top
C67,149.606,-117.365603,270.0,top
C68,149.606,-110.761835,270.0,top
C7,95.441,-54.675,180.0,bottom
C70,149.606,-97.79,270.0,top
C71,149.606,-91.186,270.0,top
C72,149.606,-104.394,270.0,top
C73,147.42,-131.4935,90.0,bottom
C74,147.42,-123.6195,90.0,bottom
C75,147.42,-135.5235,90.0,bottom
C76,147.354,-127.4955,90.0,bottom
C77,189.865,-114.808,0.0,bottom
C78,184.277,-119.951,0.0,bottom
C79,184.277,-122.491,0.0,bottom
C8,112.313,-54.505,180.0,bottom
C80,180.467,-122.428,0.0,bottom
C81,152.7,-94.0,90.0,bottom
C82,198.7605,-132.334,0.0,bottom
C83,198.2525,-134.62,0.0,bottom
C84,210.4445,-138.684,180.0,bottom
C85,207.3505,-135.382,0.0,bottom
C86,201.3005,-139.192,270.0,bottom
C87,209.775,-124.25,0.0,bottom
C88,204.9885,-114.184,0.0,bottom
C89,73.66,-140.208,90.0,bottom
